City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Descripion
193,Castro,BR,-24.7911,-50.0119,76.23,68,24,6.4,2021-04-12 17:25:00,few clouds
194,Kuryk,KZ,43.2,51.65,63.21,37,100,7.54,2021-04-12 17:25:00,overcast clouds
195,Iqaluit,CA,63.7506,-68.5145,35.6,87,75,10.36,2021-04-12 17:25:01,broken clouds
196,Esperance,AU,-33.8667,121.9,57.2,77,75,17.27,2021-04-12 17:25:01,broken clouds
197,Anloga,GH,5.7947,0.8973,87.8,70,20,11.5,2021-04-12 17:25:01,few clouds
198,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,40,16.11,2021-04-12 17:25:03,scattered clouds
199,Mount Isa,AU,-20.7333,139.5,59.0,31,1,1.14,2021-04-12 17:25:03,clear sky
200,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,75,4.61,2021-04-12 17:25:04,broken clouds
201,Arroyo,ES,41.6096,-4.7969,59.0,37,0,5.75,2021-04-12 17:25:04,light rain
202,Praia,CV,14.9215,-23.5087,86.0,35,0,19.57,2021-04-12 17:25:05,clear sky
203,Nikolskoye,RU,59.7035,30.7861,59.0,33,0,6.71,2021-04-12 17:25:05,clear sky
204,Port Hedland,AU,-20.3167,118.5667,80.6,89,42,4.61,2021-04-12 17:25:06,scattered clouds
205,Racova,RO,46.7,26.75,60.8,33,0,8.05,2021-04-12 17:25:06,clear sky
206,Nusaybin,TR,37.0778,41.2178,53.31,52,93,12.55,2021-04-12 17:25:06,overcast clouds
207,Bend,US,44.0582,-121.3153,41.0,26,1,3.44,2021-04-12 17:25:07,clear sky
208,Alofi,NU,-19.0595,-169.9187,71.6,100,17,6.91,2021-04-12 17:20:24,few clouds
209,Broken Hill,AU,-31.95,141.4333,53.6,43,74,8.05,2021-04-12 17:25:07,broken clouds
210,Teya,RU,60.3778,92.6267,33.13,97,100,7.14,2021-04-12 17:25:08,light snow
211,Buala,SB,-8.145,159.5921,79.45,82,92,5.08,2021-04-12 17:25:08,overcast clouds
212,Hervey Bay,AU,-25.2986,152.8535,64.0,82,0,8.05,2021-04-12 17:22:27,clear sky
