City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,Ulaangom,49.9811,92.0667,44.56,23,8,5.35,MN,2021-04-12 04:49:00
405,Cuiluan,47.72,128.648,60.31,41,95,17.02,CN,2021-04-12 04:49:00
406,Xam Nua,20.4197,104.0439,85.03,47,64,3.65,LA,2021-04-12 04:49:01
407,Bouna,9.2667,-3.0,77.38,69,73,4.76,CI,2021-04-12 04:49:01
408,Salalah,17.0151,54.0924,82.4,69,20,1.14,OM,2021-04-12 04:49:02
409,Ambovombe,-25.1667,46.0833,76.05,77,9,11.77,MG,2021-04-12 04:49:02
410,Evensk,61.95,159.2333,14.83,70,17,6.04,RU,2021-04-12 04:49:03
411,Yenagoa,4.9247,6.2642,77.29,87,98,3.8,NG,2021-04-12 04:49:03
412,Sapele,5.8941,5.6767,77.65,90,100,3.31,NG,2021-04-12 04:49:04
413,Muros,42.7762,-9.0603,46.99,65,70,14.14,ES,2021-04-12 04:49:04
414,Sergeyevka,53.88,67.4158,37.71,79,85,7.7,KZ,2021-04-12 04:49:04
415,La Ronge,55.1001,-105.2842,28.4,54,100,6.91,CA,2021-04-12 04:49:05
416,Balakhninskiy,58.0106,114.2769,25.2,60,100,4.56,RU,2021-04-12 04:49:05
417,Jubbal,31.1167,77.6667,66.2,20,70,4.68,IN,2021-04-12 04:49:06
418,Bintulu,3.1667,113.0333,86.0,70,20,3.44,MY,2021-04-12 04:49:07
419,Preobrazheniye,42.9019,133.9064,46.29,71,100,6.2,RU,2021-04-12 04:49:07
420,Saint-Joseph,-21.3667,55.6167,82.4,69,0,4.61,RE,2021-04-12 04:49:07
421,Pechenga,69.5259,31.1703,26.6,74,0,17.27,RU,2021-04-12 04:49:08
422,Sindor,62.8629,51.8905,36.59,78,11,10.8,RU,2021-04-12 04:49:08
423,Sfantu Gheorghe,45.8667,25.7833,43.0,39,22,0.76,RO,2021-04-12 04:49:09
424,Sosnovo-Ozerskoye,52.5249,111.5418,29.68,18,0,10.02,RU,2021-04-12 04:49:09
425,Asau,46.4333,26.4,46.99,37,2,2.82,RO,2021-04-12 04:49:09
426,Marathon,44.9,-89.7668,50.0,87,90,5.75,US,2021-04-12 04:49:10
427,Polunochnoye,60.8697,60.4153,42.15,69,8,10.0,RU,2021-04-12 04:49:10
428,Yantongshan,43.2919,126.0094,64.87,27,42,20.29,CN,2021-04-12 04:49:11
429,Baoro,5.6667,15.9667,65.79,94,100,6.02,CF,2021-04-12 04:49:11
430,Barra Patuca,15.8,-84.2833,78.06,90,62,11.34,HN,2021-04-12 04:49:12
431,Tazmalt,36.3868,4.3989,53.96,94,15,2.17,DZ,2021-04-12 04:49:12
432,Morehead,37.2711,-87.1764,48.0,81,1,5.26,US,2021-04-12 04:49:13
433,Atasu,48.6814,71.6433,52.81,33,0,15.37,KZ,2021-04-12 04:49:13
434,Tezu,27.9167,96.1667,95.61,19,14,4.29,IN,2021-04-12 04:49:13
435,Amahai,-3.3333,128.9167,84.81,69,16,6.46,ID,2021-04-12 04:49:14
436,Sechelt,49.4664,-123.7694,43.0,67,6,5.84,CA,2021-04-12 04:49:14
437,Puerto Barrios,15.7167,-88.6,78.8,89,0,0.69,GT,2021-04-12 04:49:15
438,Ulladulla,-35.35,150.4667,68.0,30,0,4.61,AU,2021-04-12 04:49:15
439,Auki,-8.7676,160.7034,81.37,79,92,1.86,SB,2021-04-12 04:49:16
440,Angoche,-16.2325,39.9086,77.86,79,100,8.3,MZ,2021-04-12 04:49:16
441,Sancti Spiritus,21.9297,-79.4425,74.39,94,2,4.7,CU,2021-04-12 04:49:17
442,Northam,51.0333,-4.2167,44.01,80,82,10.0,GB,2021-04-12 04:49:17
443,Ashqelon,31.6693,34.5715,55.4,67,75,9.22,IL,2021-04-12 04:49:17
444,Inhambane,-23.865,35.3833,66.2,94,20,5.61,MZ,2021-04-12 04:49:18
445,Chabahar,25.2919,60.643,80.26,62,0,4.21,IR,2021-04-12 04:49:19
446,Bolitoc,15.7395,119.8769,88.12,54,59,12.91,PH,2021-04-12 04:49:19
447,Chitral,35.8462,71.7858,58.1,44,6,4.76,PK,2021-04-12 04:49:20
448,Bahia Honda,22.9036,-83.1592,76.68,87,2,9.4,CU,2021-04-12 04:49:20
449,Caravelas,-17.7125,-39.2481,71.38,93,15,4.52,BR,2021-04-12 04:49:21
450,Derzhavinsk,51.1,66.3167,40.55,76,1,10.2,KZ,2021-04-12 04:49:21
451,Alyangula,-13.8483,136.4192,89.6,51,76,6.91,AU,2021-04-12 04:49:21
452,Chapleau,47.8405,-83.4034,50.47,91,96,5.84,CA,2021-04-12 04:49:22
453,Atbasar,51.8,68.3333,37.02,90,18,4.56,KZ,2021-04-12 04:49:22
454,Yining,29.0361,114.5636,63.3,88,100,2.35,CN,2021-04-12 04:49:23
455,Ushtobe,45.2514,77.9838,62.22,33,0,13.78,KZ,2021-04-12 04:49:23
456,Gondang,-7.0109,111.3189,87.55,65,72,1.21,ID,2021-04-12 04:49:23
457,Ucluelet,48.9329,-125.5528,41.0,77,19,7.05,CA,2021-04-12 04:49:24
458,Teguldet,57.3064,88.1667,39.11,82,100,11.77,RU,2021-04-12 04:49:25
459,Weinan,34.5036,109.5089,69.01,52,23,11.18,CN,2021-04-12 04:49:25
460,Neustadt,49.7117,12.0872,37.4,87,90,4.61,DE,2021-04-12 04:49:26
461,Talnakh,69.4865,88.3972,24.87,91,100,23.29,RU,2021-04-12 04:49:26
462,Majene,-3.5403,118.9707,84.54,71,51,6.49,ID,2021-04-12 04:49:27
463,Baherden,38.4362,57.4316,66.45,26,100,14.16,TM,2021-04-12 04:49:27
464,George Town,5.4112,100.3354,89.6,62,40,6.91,MY,2021-04-12 04:46:12
465,Bergen,60.392,5.328,39.2,52,75,5.75,NO,2021-04-12 04:49:28
466,Mesyagutovo,55.5303,58.2528,42.3,94,100,1.88,RU,2021-04-12 04:49:28
467,Yopal,5.3378,-72.3959,72.61,87,92,2.55,CO,2021-04-12 04:49:29
468,Mikkeli,61.6886,27.2723,37.4,75,0,9.22,FI,2021-04-12 04:49:29
469,Whitehorse,60.7161,-135.0538,26.6,59,40,13.8,CA,2021-04-12 04:47:21
470,Mnogovershinnyy,53.9353,139.9242,21.65,54,86,5.68,RU,2021-04-12 04:49:30
471,Nunchia,5.6406,-72.1986,71.46,87,81,3.11,CO,2021-04-12 04:49:31
472,Mogadishu,2.0371,45.3438,80.6,65,75,6.91,SO,2021-04-12 04:49:31
473,Balabac,7.9868,117.0645,85.44,68,90,8.08,PH,2021-04-12 04:49:31
474,Male,4.1748,73.5089,86.0,79,40,3.44,MV,2021-04-12 04:49:32
475,Lavrentiya,65.5833,-171.0,6.71,84,100,25.01,RU,2021-04-12 04:49:32
476,Waitati,-45.75,170.5667,59.0,90,100,11.99,NZ,2021-04-12 04:49:33
477,Ivanteyevka,55.9711,37.9208,41.0,70,0,8.95,RU,2021-04-12 04:49:33
478,Morgaushi,55.9643,46.7743,44.6,49,0,2.24,RU,2021-04-12 04:49:33
479,Parabel,58.6978,81.4825,34.9,94,100,12.1,RU,2021-04-12 04:49:34
480,Teguise,29.0605,-13.564,64.4,82,0,12.66,ES,2021-04-12 04:49:34
481,Komsomolskiy,40.4272,71.7189,59.0,41,3,9.22,UZ,2021-04-12 04:49:35
482,Huarmey,-10.0681,-78.1522,69.15,85,100,6.69,PE,2021-04-12 04:49:35
483,Redlands,34.0556,-117.1825,66.2,52,20,9.22,US,2021-04-12 04:49:35
484,Scarborough,54.2797,-0.4044,30.0,81,18,9.08,GB,2021-04-12 04:45:11
485,Abeche,13.8292,20.8324,77.0,13,2,19.39,TD,2021-04-12 04:49:36
486,Neepawa,50.2289,-99.4664,33.8,80,90,24.16,CA,2021-04-12 04:49:36
487,Kaeo,-35.1,173.7833,72.0,89,84,5.01,NZ,2021-04-12 04:49:37
488,Zambezi,-13.5432,23.1047,56.82,77,1,5.55,ZM,2021-04-12 04:49:38
489,Kilrush,52.6397,-9.4833,41.0,93,0,5.75,IE,2021-04-12 04:49:38
490,Pacific Grove,36.6177,-121.9166,51.8,76,90,5.75,US,2021-04-12 04:48:16
491,Two Rivers,44.1539,-87.5693,44.6,93,1,6.64,US,2021-04-12 04:49:39
492,Hovd,48.0056,91.6419,40.26,16,14,3.13,MN,2021-04-12 04:49:39
493,Urubicha,-15.3833,-62.95,66.38,97,100,5.77,BO,2021-04-12 04:49:40
494,Yeniseysk,58.4497,92.1703,34.18,98,100,6.87,RU,2021-04-12 04:49:40
495,Pundaguitan,6.3711,126.1689,82.51,73,74,3.58,PH,2021-04-12 04:49:40
