City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
195,Srednekolymsk,RU,67.45,153.6833,-27.99,100,44,3.0,2021-04-12 18:02:17,scattered clouds
196,Gallup,US,35.5281,-108.7426,66.2,10,1,9.22,2021-04-12 18:02:17,clear sky
197,Esperance,AU,-33.8667,121.9,57.2,77,75,17.27,2021-04-12 18:02:18,broken clouds
198,Canto Do Buriti,BR,-8.11,-42.9444,91.17,37,52,6.4,2021-04-12 18:02:18,broken clouds
199,Tessalit,ML,20.1986,1.0114,97.18,7,1,11.9,2021-04-12 18:02:18,clear sky
200,Arica,CL,-18.475,-70.3042,71.6,64,0,13.8,2021-04-12 17:57:59,clear sky
201,Lumding,IN,25.7535,93.1732,75.78,47,17,2.71,2021-04-12 18:02:19,few clouds
202,Skjervoy,NO,70.0311,20.9714,33.8,60,75,4.61,2021-04-12 18:02:20,broken clouds
203,Bayshore Gardens,US,27.4253,-82.5904,82.0,57,1,12.66,2021-04-12 18:02:20,clear sky
204,Longyearbyen,SJ,78.2186,15.6401,14.0,57,20,4.61,2021-04-12 18:02:21,few clouds
205,Sola,VU,-13.8833,167.55,81.86,74,97,13.18,2021-04-12 18:02:21,overcast clouds
206,Edosaki,JP,35.95,140.3167,59.0,87,75,1.14,2021-04-12 18:02:22,broken clouds
207,Oussouye,SN,12.485,-16.5469,102.2,65,0,6.91,2021-04-12 18:02:22,clear sky
208,Coquimbo,CL,-29.9533,-71.3436,62.6,72,20,14.97,2021-04-12 18:02:22,few clouds
209,Porbandar,IN,21.6422,69.6093,81.34,59,0,11.81,2021-04-12 18:02:23,clear sky
210,Tuatapere,NZ,-46.1333,167.6833,50.0,95,100,1.99,2021-04-12 18:02:23,overcast clouds
211,Half Moon Bay,US,37.4636,-122.4286,64.0,72,40,5.75,2021-04-12 18:02:23,scattered clouds
212,Bengkulu,ID,-3.8004,102.2655,76.26,88,92,3.74,2021-04-12 18:02:24,light rain
213,Buala,SB,-8.145,159.5921,79.5,81,91,5.53,2021-04-12 18:02:24,overcast clouds
214,Kurilsk,RU,45.2333,147.8833,37.26,91,92,11.05,2021-04-12 18:02:25,overcast clouds
215,Batagay-Alyta,RU,67.8006,130.4114,-8.54,85,95,5.5,2021-04-12 18:02:25,overcast clouds
216,Bonavista,CA,48.6499,-53.1147,37.0,100,100,8.05,2021-04-12 18:02:26,moderate rain
217,Rafraf,TN,37.1904,10.1837,64.4,68,40,12.66,2021-04-12 18:02:26,scattered clouds
218,Saint-Augustin,CA,51.226,-58.6502,47.25,69,8,22.44,2021-04-12 18:02:27,clear sky
219,Hami,CN,42.8,93.45,52.11,28,14,3.91,2021-04-12 18:02:27,few clouds
220,Santiago Tuxtla,MX,18.4667,-95.3,98.1,23,2,12.19,2021-04-12 18:02:27,clear sky
221,Umm Kaddadah,SD,13.6017,26.6876,78.37,5,21,12.95,2021-04-12 18:02:28,few clouds
222,Assiniboia,CA,49.6334,-105.9845,26.6,74,100,21.85,2021-04-12 18:02:28,light snow
223,Qaqortoq,GL,60.7167,-46.0333,44.6,36,20,6.91,2021-04-12 18:02:28,few clouds
224,Strezhevoy,RU,60.7333,77.5889,33.8,69,0,4.47,2021-04-12 18:02:29,clear sky
225,Alofi,NU,-19.0595,-169.9187,71.6,100,18,6.91,2021-04-12 18:01:06,few clouds
226,Luwuk,ID,-0.9516,122.7875,76.57,85,24,2.42,2021-04-12 18:02:29,few clouds
227,Kalemie,CD,-5.9475,29.1947,72.52,82,49,1.86,2021-04-12 17:59:01,scattered clouds
228,Port Macquarie,AU,-31.4333,152.9167,50.0,75,13,5.01,2021-04-12 18:02:30,few clouds
229,Hofn,IS,64.2539,-15.2082,42.8,61,20,5.75,2021-04-12 18:02:30,few clouds
230,Seymchan,RU,62.8833,152.4333,-25.31,99,82,2.08,2021-04-12 18:02:31,broken clouds
231,Nabire,ID,-3.3667,135.4833,76.53,88,97,5.32,2021-04-12 18:02:31,overcast clouds
232,Saldanha,ZA,-33.0117,17.9442,73.4,49,100,9.22,2021-04-12 18:02:31,overcast clouds
233,Winnemucca,US,40.973,-117.7357,46.4,23,1,11.5,2021-04-12 17:58:44,clear sky
234,Havoysund,NO,70.9963,24.6622,30.2,86,75,17.27,2021-04-12 18:02:32,light snow
235,Christchurch,NZ,-43.5333,172.6333,57.2,62,20,2.3,2021-04-12 18:02:33,few clouds
236,Bambous Virieux,MU,-20.3428,57.7575,73.4,94,75,1.14,2021-04-12 18:02:33,light rain
237,Bethel,US,41.3712,-73.414,51.8,58,90,6.91,2021-04-12 18:02:33,overcast clouds
238,Batagay,RU,67.6333,134.6333,-9.58,99,89,4.27,2021-04-12 18:02:34,overcast clouds
239,Dongying,CN,37.4564,118.4856,51.01,70,98,13.76,2021-04-12 18:02:35,overcast clouds
240,Mandalgovi,MN,45.7625,106.2708,27.52,26,38,9.37,2021-04-12 18:02:35,scattered clouds
241,Kokkola,FI,63.8385,23.1307,37.4,93,75,6.91,2021-04-12 18:02:35,light rain
242,Ust-Nera,RU,64.5667,143.2,-17.48,91,16,2.19,2021-04-12 18:02:36,few clouds
243,Kaitangata,NZ,-46.2817,169.8464,50.58,97,72,4.56,2021-04-12 18:02:36,broken clouds
244,Paita,PE,-5.0892,-81.1144,86.0,62,0,13.8,2021-04-12 18:02:37,clear sky
245,Yaan,NG,7.3833,8.5667,93.11,33,56,4.54,2021-04-12 18:02:37,broken clouds
246,Keelung,TW,25.1283,121.7419,75.0,88,0,1.14,2021-04-12 18:02:37,clear sky
247,Brae,GB,60.3964,-1.353,41.0,65,20,16.11,2021-04-12 18:02:38,few clouds
248,Yar-Sale,RU,66.8333,70.8333,29.75,78,58,20.96,2021-04-12 18:02:38,broken clouds
249,Kandrian,PG,-6.2167,149.55,77.99,80,100,6.8,2021-04-12 18:02:38,overcast clouds
250,Calvinia,ZA,-31.4707,19.776,79.21,24,46,5.5,2021-04-12 18:02:39,scattered clouds
251,Fukue,JP,32.6881,128.8419,65.55,94,100,23.17,2021-04-12 18:02:39,overcast clouds
252,Sibolga,ID,1.7427,98.7792,76.24,89,100,1.9,2021-04-12 18:02:39,overcast clouds
253,Isangel,VU,-19.55,169.2667,77.41,84,82,3.47,2021-04-12 18:02:40,broken clouds
254,San Roque,ES,36.2107,-5.3842,62.6,82,75,18.41,2021-04-12 18:02:40,broken clouds
255,Wenling,CN,28.3669,121.36,66.0,100,100,1.99,2021-04-12 18:02:08,light rain
256,Klaksvik,FO,62.2266,-6.589,37.4,56,42,3.44,2021-04-12 18:02:41,scattered clouds
257,Sitka,US,57.0531,-135.33,37.4,87,90,11.5,2021-04-12 18:02:41,light rain
258,Havre,FR,49.5833,0.3333,42.8,87,90,11.5,2021-04-12 18:02:41,overcast clouds
259,Cockburn Town,TC,21.4612,-71.1419,77.02,67,6,14.29,2021-04-12 17:59:04,clear sky
260,Castro,BR,-24.7911,-50.0119,75.16,70,22,5.1,2021-04-12 17:58:19,few clouds
